ID riunione,Argomento,Ora di inizio,Ora di fine,Email dell’utente,Durata (minuti),Partecipanti,
01234567890,Seminari del Corso di Eccellenza 2099,01/19/2099 02:32:57 PM,01/19/2099 04:58:08 PM,cde@fakemail.com,146,10,

Nome (nome originale),Email dell’utente,Ora di entrata,Ora di uscita,Durata (minuti),Guest
Progetto Manhattan (oppie),,01/19/2099 02:32:57 PM,01/19/2099 04:58:01 PM,146,Sì
ilcristo (ilcristo),,01/19/2099 02:33:20 PM,01/19/2099 04:58:00 PM,145,Sì
Faby Lagianotti (fabio),flagianotti@cem.ch,01/19/2099 02:33:34 PM,01/19/2099 02:33:43 PM,1,Sì
Charlie (Charlie Chaplin),charliechaplin@fakemail.com,01/19/2099 02:33:52 PM,01/19/2099 02:37:18 PM,49,Sì
CrispyBacon (Chris Bacon),,01/19/2099 02:34:01 PM,01/19/2099 02:34:07 PM,100,Sì
Titor John (John Titor),,01/19/2099 02:35:32 PM,01/19/2099 04:29:51 PM,115,Sì
xBARBIEx,,01/19/2099 02:36:10 PM,01/19/2099 02:36:47 PM,1,Sì
Succo (Succo),strosprobat@fakemail.com,01/19/2099 02:37:11 PM,01/19/2099 02:38:00 PM,1,Sì
Faby Lagianotti (fabio),,01/19/2099 02:38:13 PM,01/19/2099 04:58:06 PM,140,Sì
LJS,,01/19/2099 02:38:22 PM,01/19/2099 04:57:59 PM,140,Sì
xBARBIEx,,01/19/2099 02:39:45 PM,01/19/2099 02:40:19 PM,1,Sì
BINNNNNNI,,01/19/2099 02:39:46 PM,01/19/2099 03:39:46 PM,60,Sì
